,subgroup,modeldate,approve_estimate,disapprove_estimate,M_Month,M_Day,M_Year
44,All polls,8/27/2019,41.32244,54.24118000000001,8,27,2019
45,Adults,8/26/2019,40.55687,54.3839,8,26,2019
46,Voters,8/26/2019,42.512859999999996,53.101259999999996,8,26,2019
47,All polls,8/26/2019,41.543,53.9104,8,26,2019
48,Voters,8/25/2019,42.5766,53.074090000000005,8,25,2019
49,Adults,8/25/2019,40.55687,54.3839,8,25,2019
50,All polls,8/25/2019,41.60328,53.90091999999999,8,25,2019
51,Adults,8/24/2019,40.57812,54.31651,8,24,2019
52,Voters,8/24/2019,42.54197,53.06,8,24,2019
53,All polls,8/24/2019,41.62464,53.84049,8,24,2019
54,Voters,8/23/2019,42.50792,53.08319,8,23,2019
55,Adults,8/23/2019,40.519009999999994,54.322430000000004,8,23,2019
56,All polls,8/23/2019,41.59114,53.83133,8,23,2019
57,Voters,8/22/2019,42.30774,53.350809999999996,8,22,2019
58,Adults,8/22/2019,40.53337,54.25316,8,22,2019
59,All polls,8/22/2019,41.457,53.957530000000006,8,22,2019
60,Voters,8/21/2019,42.45544,53.36531,8,21,2019
61,Adults,8/21/2019,41.17577,53.78519,8,21,2019
62,All polls,8/21/2019,41.93464,53.68591,8,21,2019
63,Adults,8/20/2019,41.18851,54.152359999999994,8,20,2019
64,Voters,8/20/2019,42.80458,53.49171,8,20,2019
65,All polls,8/20/2019,41.96317,53.86838,8,20,2019
66,Adults,8/19/2019,41.34017,53.99225,8,19,2019
67,Voters,8/19/2019,42.97809,53.26048,8,19,2019
68,All polls,8/19/2019,42.15096,53.66668000000001,8,19,2019
69,Adults,8/18/2019,41.3247,53.96731,8,18,2019
70,Voters,8/18/2019,42.942890000000006,53.2679,8,18,2019
71,All polls,8/18/2019,42.14217,53.65914,8,18,2019
72,Adults,8/17/2019,41.16001,53.71696,8,17,2019
73,All polls,8/17/2019,42.12044,53.40606999999999,8,17,2019
74,Voters,8/17/2019,42.942890000000006,53.2679,8,17,2019
75,Voters,8/16/2019,42.942890000000006,53.2679,8,16,2019
76,Adults,8/16/2019,41.16001,53.71696,8,16,2019
77,All polls,8/16/2019,42.12044,53.40606999999999,8,16,2019
78,Voters,8/15/2019,43.01258,53.282619999999994,8,15,2019
79,Adults,8/15/2019,41.125479999999996,53.79683000000001,8,15,2019
80,All polls,8/15/2019,42.190740000000005,53.3991,8,15,2019
81,Voters,8/14/2019,42.365970000000004,53.84475,8,14,2019
82,Adults,8/14/2019,41.07655,53.82833,8,14,2019
83,All polls,8/14/2019,41.72423,53.78225,8,14,2019
84,Voters,8/13/2019,42.57611,53.357040000000005,8,13,2019
85,Adults,8/13/2019,41.01769,54.275690000000004,8,13,2019
86,All polls,8/13/2019,41.83497,53.564890000000005,8,13,2019
87,Adults,8/12/2019,41.36837,53.9233,8,12,2019
88,Voters,8/12/2019,42.71815,53.11773,8,12,2019
89,All polls,8/12/2019,42.04562,53.326159999999994,8,12,2019
90,Adults,8/11/2019,41.352990000000005,53.8873,8,11,2019
91,Voters,8/11/2019,42.83628,52.951280000000004,8,11,2019
92,All polls,8/11/2019,42.1351,53.21848000000001,8,11,2019
93,Voters,8/10/2019,42.8211,52.92754,8,10,2019
94,Adults,8/10/2019,41.33028,53.93995,8,10,2019
95,All polls,8/10/2019,42.110659999999996,53.25448000000001,8,10,2019
96,Adults,8/9/2019,41.33028,53.93995,8,9,2019
97,Voters,8/9/2019,42.799409999999995,52.95044,8,9,2019
98,All polls,8/9/2019,42.09775,53.2696,8,9,2019
99,Voters,8/8/2019,42.90422,52.8478,8,8,2019
100,Adults,8/8/2019,41.34695,53.95997,8,8,2019
101,All polls,8/8/2019,42.13394,53.22845,8,8,2019
102,Voters,8/7/2019,42.79287,52.886340000000004,8,7,2019
103,Adults,8/7/2019,41.29712,53.927440000000004,8,7,2019
104,All polls,8/7/2019,42.064370000000004,53.23881,8,7,2019
105,Voters,8/6/2019,43.18039,52.70414,8,6,2019
106,Adults,8/6/2019,41.35875,54.26418,8,6,2019
107,All polls,8/6/2019,42.30338,53.20259,8,6,2019
108,Adults,8/5/2019,41.43881,54.26041,8,5,2019
109,Voters,8/5/2019,43.010290000000005,52.81953000000001,8,5,2019
110,All polls,8/5/2019,42.40977,53.170559999999995,8,5,2019
111,Voters,8/4/2019,42.91727,52.84936999999999,8,4,2019
112,Adults,8/4/2019,41.478190000000005,54.30265,8,4,2019
113,All polls,8/4/2019,42.39501,53.19583000000001,8,4,2019
114,Voters,8/3/2019,42.82935,52.940780000000004,8,3,2019
115,Adults,8/3/2019,41.39196,54.37181999999999,8,3,2019
116,All polls,8/3/2019,42.32873,53.232169999999996,8,3,2019
117,Voters,8/2/2019,42.85614,52.88085,8,2,2019
118,Adults,8/2/2019,41.4176,54.326269999999994,8,2,2019
119,All polls,8/2/2019,42.34539,53.18635,8,2,2019
120,Voters,8/1/2019,42.88264,52.7583,8,1,2019
121,Adults,8/1/2019,41.505759999999995,54.09896,8,1,2019
122,All polls,8/1/2019,42.479279999999996,52.8648,8,1,2019
123,Voters,7/31/2019,42.7958,52.829319999999996,7,31,2019
124,Adults,7/31/2019,41.437059999999995,54.15806,7,31,2019
125,All polls,7/31/2019,42.41258,52.908080000000005,7,31,2019
126,Voters,7/30/2019,43.31136,52.16308,7,30,2019
127,Adults,7/30/2019,41.905390000000004,53.948930000000004,7,30,2019
128,All polls,7/30/2019,42.84758,52.4712,7,30,2019
129,Voters,7/29/2019,42.883359999999996,53.2417,7,29,2019
130,Adults,7/29/2019,41.75597,54.082440000000005,7,29,2019
131,All polls,7/29/2019,42.4653,53.38399999999999,7,29,2019
132,Voters,7/28/2019,42.90733,53.55477,7,28,2019
133,Adults,7/28/2019,41.74086,54.02911999999999,7,28,2019
134,All polls,7/28/2019,42.55053,53.5023,7,28,2019
135,Adults,7/27/2019,41.683409999999995,54.051590000000004,7,27,2019
136,Voters,7/27/2019,42.903290000000005,53.545269999999995,7,27,2019
137,All polls,7/27/2019,42.50711,53.51795,7,27,2019
138,Voters,7/26/2019,42.90155,53.538709999999995,7,26,2019
139,Adults,7/26/2019,41.73809,53.99703,7,26,2019
140,All polls,7/26/2019,42.54303,53.48356999999999,7,26,2019
141,Adults,7/25/2019,41.75789,53.89915,7,25,2019
142,Voters,7/25/2019,43.2421,53.080659999999995,7,25,2019
143,All polls,7/25/2019,42.653909999999996,53.20842,7,25,2019
144,Voters,7/24/2019,43.299240000000005,52.994330000000005,7,24,2019
145,Adults,7/24/2019,41.77722,53.86786,7,24,2019
146,All polls,7/24/2019,42.721920000000004,53.1156,7,24,2019
147,Voters,7/23/2019,43.20112,53.042080000000006,7,23,2019
148,Adults,7/23/2019,41.94186,53.65736,7,23,2019
149,All polls,7/23/2019,42.71822,53.03294,7,23,2019
150,Voters,7/22/2019,43.72396,52.29834,7,22,2019
151,Adults,7/22/2019,42.27148,53.15537,7,22,2019
152,All polls,7/22/2019,42.973459999999996,52.610519999999994,7,22,2019
153,Voters,7/21/2019,43.436040000000006,52.23381,7,21,2019
154,All polls,7/21/2019,42.69075,52.41867,7,21,2019
155,Adults,7/21/2019,41.76081,52.88451,7,21,2019
156,Adults,7/20/2019,41.7347,52.976209999999995,7,20,2019
157,All polls,7/20/2019,42.69924,52.4192,7,20,2019
158,Voters,7/20/2019,43.436040000000006,52.23381,7,20,2019
159,Voters,7/19/2019,43.436040000000006,52.23381,7,19,2019
160,Adults,7/19/2019,41.7347,52.976209999999995,7,19,2019
161,All polls,7/19/2019,42.69924,52.4192,7,19,2019
162,Voters,7/18/2019,43.246520000000004,52.435390000000005,7,18,2019
163,Adults,7/18/2019,41.70742,52.9924,7,18,2019
164,All polls,7/18/2019,42.51968,52.58047,7,18,2019
165,Voters,7/17/2019,43.28456,52.39083,7,17,2019
166,Adults,7/17/2019,41.47477,53.29071,7,17,2019
167,All polls,7/17/2019,42.36789,52.77081999999999,7,17,2019
168,Voters,7/16/2019,43.023340000000005,52.618840000000006,7,16,2019
169,Adults,7/16/2019,41.40459,53.38223000000001,7,16,2019
170,All polls,7/16/2019,42.26181,52.92569,7,16,2019
171,Voters,7/15/2019,43.16745,52.45496,7,15,2019
172,Adults,7/15/2019,41.56728,53.19432,7,15,2019
173,All polls,7/15/2019,42.39311,52.72841,7,15,2019
174,Voters,7/14/2019,43.22157,52.43552,7,14,2019
175,Adults,7/14/2019,41.95745,52.84311999999999,7,14,2019
176,All polls,7/14/2019,42.575179999999996,52.61871,7,14,2019
177,Adults,7/13/2019,41.92413,52.81344,7,13,2019
178,Voters,7/13/2019,43.19133,52.3336,7,13,2019
179,All polls,7/13/2019,42.39304,52.56308000000001,7,13,2019
180,Voters,7/12/2019,43.21665,52.37023,7,12,2019
181,Adults,7/12/2019,41.93135,52.85833,7,12,2019
182,All polls,7/12/2019,42.38647,52.59745,7,12,2019
183,Voters,7/11/2019,43.19458,52.46974,7,11,2019
184,Adults,7/11/2019,41.822140000000005,52.909690000000005,7,11,2019
185,All polls,7/11/2019,42.39655,52.600469999999994,7,11,2019
186,Voters,7/10/2019,43.663340000000005,51.897690000000004,7,10,2019
187,Adults,7/10/2019,41.78241,52.92616999999999,7,10,2019
188,All polls,7/10/2019,42.515679999999996,52.37766,7,10,2019
189,Adults,7/9/2019,41.89097,52.8533,7,9,2019
190,Voters,7/9/2019,43.70581,51.901,7,9,2019
191,All polls,7/9/2019,42.56955,52.35604,7,9,2019
192,Voters,7/8/2019,44.025220000000004,51.85133,7,8,2019
193,Adults,7/8/2019,41.9083,52.78434,7,8,2019
194,All polls,7/8/2019,42.55466,52.47973,7,8,2019
195,All polls,7/7/2019,42.63196,52.4363,7,7,2019
196,Adults,7/7/2019,42.00573,52.68435,7,7,2019
197,Voters,7/7/2019,44.0078,51.91407,7,7,2019
198,Voters,7/6/2019,43.27773,52.393640000000005,7,6,2019
199,All polls,7/6/2019,42.27202,52.51616,7,6,2019
200,Adults,7/6/2019,41.38198,52.92344,7,6,2019
201,Voters,7/5/2019,43.27773,52.393640000000005,7,5,2019
202,Adults,7/5/2019,41.38198,52.92344,7,5,2019
203,All polls,7/5/2019,42.27202,52.51616,7,5,2019
204,Adults,7/4/2019,41.38198,52.92344,7,4,2019
205,All polls,7/4/2019,42.27202,52.51616,7,4,2019
206,Voters,7/4/2019,43.27773,52.393640000000005,7,4,2019
207,Adults,7/3/2019,41.38198,52.92344,7,3,2019
208,Voters,7/3/2019,43.27773,52.393640000000005,7,3,2019
209,All polls,7/3/2019,42.27202,52.51616,7,3,2019
210,Voters,7/2/2019,43.130109999999995,52.40186,7,2,2019
211,Adults,7/2/2019,41.52959,52.98522,7,2,2019
212,All polls,7/2/2019,42.30627,52.5511,7,2,2019
213,Voters,7/1/2019,42.78076,52.59958,7,1,2019
214,Adults,7/1/2019,41.214259999999996,53.77271999999999,7,1,2019
215,All polls,7/1/2019,42.18854,52.890730000000005,7,1,2019
216,Adults,6/30/2019,41.2774,53.69761,6,30,2019
217,Voters,6/30/2019,42.866890000000005,52.582719999999995,6,30,2019
218,All polls,6/30/2019,42.312490000000004,52.80555,6,30,2019
219,Voters,6/29/2019,42.87017,52.543530000000004,6,29,2019
220,Adults,6/29/2019,41.3047,53.69752,6,29,2019
221,All polls,6/29/2019,42.3288,52.79617,6,29,2019
222,Voters,6/28/2019,42.87024,52.45925,6,28,2019
223,Adults,6/28/2019,41.29354,53.6516,6,28,2019
224,All polls,6/28/2019,42.3429,52.73378,6,28,2019
225,Adults,6/27/2019,41.19576,53.76571,6,27,2019
226,Voters,6/27/2019,42.85568,52.41587,6,27,2019
227,All polls,6/27/2019,42.29902,52.74738000000001,6,27,2019
228,Voters,6/26/2019,42.7098,52.53155,6,26,2019
229,Adults,6/26/2019,41.24135,53.695769999999996,6,26,2019
230,All polls,6/26/2019,42.23874,52.79758,6,26,2019
231,Adults,6/25/2019,41.234759999999994,53.79646999999999,6,25,2019
232,Voters,6/25/2019,42.77933,52.562369999999994,6,25,2019
233,All polls,6/25/2019,42.28614,52.850640000000006,6,25,2019
234,Voters,6/24/2019,43.26168,52.564859999999996,6,24,2019
235,Adults,6/24/2019,41.27888,53.85941999999999,6,24,2019
236,All polls,6/24/2019,42.47824,53.053999999999995,6,24,2019
237,Voters,6/23/2019,43.404740000000004,52.44481999999999,6,23,2019
238,Adults,6/23/2019,41.355740000000004,53.7696,6,23,2019
239,All polls,6/23/2019,42.5964,52.97929,6,23,2019
240,Voters,6/22/2019,43.46454,52.39201,6,22,2019
241,Adults,6/22/2019,41.37154,53.79381,6,22,2019
242,All polls,6/22/2019,42.60138,52.9917,6,22,2019
243,Adults,6/21/2019,41.37154,53.79381,6,21,2019
244,Voters,6/21/2019,43.48903,52.370979999999996,6,21,2019
245,All polls,6/21/2019,42.61736,52.98015,6,21,2019
246,Voters,6/20/2019,43.448240000000006,52.42218,6,20,2019
247,Adults,6/20/2019,41.10581,54.027730000000005,6,20,2019
248,All polls,6/20/2019,42.477779999999996,53.109190000000005,6,20,2019
249,Voters,6/19/2019,43.39155,52.641090000000005,6,19,2019
250,Adults,6/19/2019,41.16168,54.33514,6,19,2019
251,All polls,6/19/2019,42.492470000000004,53.37106,6,19,2019
252,Voters,6/18/2019,43.13414,53.17694,6,18,2019
253,Adults,6/18/2019,41.4959,53.7742,6,18,2019
254,All polls,6/18/2019,42.46444,53.43226,6,18,2019
255,Voters,6/17/2019,43.293040000000005,52.87486,6,17,2019
256,Adults,6/17/2019,41.40927,53.502219999999994,6,17,2019
257,All polls,6/17/2019,42.46795,53.20146999999999,6,17,2019
258,Adults,6/16/2019,41.4086,53.46532,6,16,2019
259,Voters,6/16/2019,43.52073,52.692190000000004,6,16,2019
260,All polls,6/16/2019,42.63055,53.02929,6,16,2019
261,All polls,6/15/2019,42.38241,52.80075,6,15,2019
262,Voters,6/15/2019,43.353390000000005,52.56406,6,15,2019
263,Adults,6/15/2019,41.09431,53.32391,6,15,2019
264,Voters,6/14/2019,43.353390000000005,52.56406,6,14,2019
265,Adults,6/14/2019,41.09431,53.32391,6,14,2019
266,All polls,6/14/2019,42.38241,52.80075,6,14,2019
267,Voters,6/13/2019,43.18822,52.71999,6,13,2019
268,Adults,6/13/2019,41.04517,53.34916,6,13,2019
269,All polls,6/13/2019,42.27949,52.88176,6,13,2019
270,Adults,6/12/2019,40.929970000000004,53.47661,6,12,2019
271,Voters,6/12/2019,42.89414,52.99918,6,12,2019
272,All polls,6/12/2019,42.08207,53.01245,6,12,2019
273,Voters,6/11/2019,42.76709,52.96496,6,11,2019
274,Adults,6/11/2019,40.90348,53.28038000000001,6,11,2019
275,All polls,6/11/2019,41.9846,52.9854,6,11,2019
276,Adults,6/10/2019,41.30365,52.87118,6,10,2019
277,Voters,6/10/2019,42.78373,52.7384,6,10,2019
278,All polls,6/10/2019,42.05388,52.7515,6,10,2019
279,Voters,6/9/2019,42.56394,52.88182,6,9,2019
280,Adults,6/9/2019,40.70913,53.3314,6,9,2019
281,All polls,6/9/2019,41.593990000000005,53.146840000000005,6,9,2019
282,Voters,6/8/2019,42.56394,52.88182,6,8,2019
283,Adults,6/8/2019,40.70913,53.3314,6,8,2019
284,All polls,6/8/2019,41.593990000000005,53.146840000000005,6,8,2019
285,Voters,6/7/2019,42.544940000000004,52.90186,6,7,2019
286,Adults,6/7/2019,40.70913,53.3314,6,7,2019
287,All polls,6/7/2019,41.58097,53.15811,6,7,2019
288,Adults,6/6/2019,40.51807,53.94234,6,6,2019
289,Voters,6/6/2019,42.335840000000005,53.518640000000005,6,6,2019
290,All polls,6/6/2019,41.47568,53.60609,6,6,2019
291,Voters,6/5/2019,42.78265,53.22811,6,5,2019
292,Adults,6/5/2019,40.83706,53.523959999999995,6,5,2019
293,All polls,6/5/2019,41.59452,53.42678000000001,6,5,2019
294,Adults,6/4/2019,40.84887,53.550509999999996,6,4,2019
295,Voters,6/4/2019,42.84028,53.08643000000001,6,4,2019
296,All polls,6/4/2019,41.54452,53.4142,6,4,2019
297,Adults,6/3/2019,41.00229,53.54128000000001,6,3,2019
298,Voters,6/3/2019,42.65364,53.321769999999994,6,3,2019
299,All polls,6/3/2019,41.593059999999994,53.48384,6,3,2019
300,All polls,6/2/2019,41.53774,53.46474,6,2,2019
301,Voters,6/2/2019,42.54643,53.45271999999999,6,2,2019
302,Adults,6/2/2019,40.88752,53.53193,6,2,2019
303,Voters,6/1/2019,42.28378,53.727630000000005,6,1,2019
304,All polls,6/1/2019,41.16404,53.80153000000001,6,1,2019
305,Adults,6/1/2019,40.305240000000005,54.03366,6,1,2019
306,Adults,5/31/2019,40.305240000000005,54.03366,5,31,2019
307,Voters,5/31/2019,42.28378,53.727630000000005,5,31,2019
308,All polls,5/31/2019,41.16404,53.80153000000001,5,31,2019
309,Voters,5/30/2019,42.18365,53.89496,5,30,2019
310,Adults,5/30/2019,40.43422,54.386030000000005,5,30,2019
311,All polls,5/30/2019,41.2495,54.14351,5,30,2019
312,Voters,5/29/2019,42.078359999999996,53.97221999999999,5,29,2019
313,Adults,5/29/2019,40.3208,54.48563000000001,5,29,2019
314,All polls,5/29/2019,41.17459,54.197230000000005,5,29,2019
315,Adults,5/28/2019,40.21971,54.288909999999994,5,28,2019
316,Voters,5/28/2019,42.08245,54.01006999999999,5,28,2019
317,All polls,5/28/2019,41.11877,54.05846,5,28,2019
318,All polls,5/27/2019,41.1946,53.95377,5,27,2019
319,Adults,5/27/2019,40.23515,54.199180000000005,5,27,2019
320,Voters,5/27/2019,42.07652,54.05464,5,27,2019
321,Adults,5/26/2019,40.23515,54.199180000000005,5,26,2019
322,All polls,5/26/2019,41.22525,53.90728000000001,5,26,2019
323,Voters,5/26/2019,42.113609999999994,54.01198,5,26,2019
324,All polls,5/25/2019,41.22525,53.90728000000001,5,25,2019
325,Adults,5/25/2019,40.23515,54.199180000000005,5,25,2019
326,Voters,5/25/2019,42.113609999999994,54.01198,5,25,2019
327,Voters,5/24/2019,42.113609999999994,54.01198,5,24,2019
328,Adults,5/24/2019,40.23515,54.199180000000005,5,24,2019
329,All polls,5/24/2019,41.22525,53.90728000000001,5,24,2019
330,Voters,5/23/2019,42.142959999999995,54.0145,5,23,2019
331,Adults,5/23/2019,40.18141,54.227019999999996,5,23,2019
332,All polls,5/23/2019,41.22968,53.931219999999996,5,23,2019
333,Adults,5/22/2019,40.14721,54.004540000000006,5,22,2019
334,Voters,5/22/2019,41.98075,53.96856999999999,5,22,2019
335,All polls,5/22/2019,41.145579999999995,53.82338000000001,5,22,2019
336,Voters,5/21/2019,41.979729999999996,53.87491,5,21,2019
337,Adults,5/21/2019,40.14015,54.12924,5,21,2019
338,All polls,5/21/2019,41.18523,53.95775,5,21,2019
339,Voters,5/20/2019,42.178259999999995,53.6207,5,20,2019
340,Adults,5/20/2019,40.69801,53.451840000000004,5,20,2019
341,All polls,5/20/2019,41.81188,53.26786,5,20,2019
342,Voters,5/19/2019,42.32533,53.48996999999999,5,19,2019
343,Adults,5/19/2019,40.69801,53.451840000000004,5,19,2019
344,All polls,5/19/2019,41.93738,53.13861,5,19,2019
345,Voters,5/18/2019,42.32533,53.48996999999999,5,18,2019
346,Adults,5/18/2019,40.69801,53.451840000000004,5,18,2019
347,All polls,5/18/2019,41.93738,53.13861,5,18,2019
348,Voters,5/17/2019,42.37827,53.401619999999994,5,17,2019
349,Adults,5/17/2019,40.730309999999996,53.429790000000004,5,17,2019
350,All polls,5/17/2019,41.97104,53.11149,5,17,2019
351,Voters,5/16/2019,42.50833,53.33923000000001,5,16,2019
352,Adults,5/16/2019,40.75094,53.48198000000001,5,16,2019
353,All polls,5/16/2019,42.03411,53.10909,5,16,2019
354,Voters,5/15/2019,42.6801,53.207969999999996,5,15,2019
355,Adults,5/15/2019,40.75094,53.48198000000001,5,15,2019
356,All polls,5/15/2019,42.16721,53.002680000000005,5,15,2019
357,Adults,5/14/2019,41.09052,53.42981999999999,5,14,2019
358,Voters,5/14/2019,43.03286,52.62215,5,14,2019
359,All polls,5/14/2019,42.27468,52.60208000000001,5,14,2019
360,Adults,5/13/2019,41.92653,52.78691,5,13,2019
361,Voters,5/13/2019,42.938629999999996,52.59036,5,13,2019
362,All polls,5/13/2019,42.394729999999996,52.49892,5,13,2019
363,Voters,5/12/2019,43.04588,53.00796999999999,5,12,2019
364,Adults,5/12/2019,41.87191,52.71604,5,12,2019
365,All polls,5/12/2019,42.41223,52.71151,5,12,2019
366,Adults,5/11/2019,41.87191,52.71604,5,11,2019
367,Voters,5/11/2019,43.04588,53.00796999999999,5,11,2019
368,All polls,5/11/2019,42.41223,52.71151,5,11,2019
369,Voters,5/10/2019,43.05749,53.01198,5,10,2019
370,Adults,5/10/2019,41.84447,52.672959999999996,5,10,2019
371,All polls,5/10/2019,42.415409999999994,52.6608,5,10,2019
372,Voters,5/9/2019,43.07478,53.01715,5,9,2019
373,Adults,5/9/2019,41.84447,52.672959999999996,5,9,2019
374,All polls,5/9/2019,42.42705,52.65424,5,9,2019
375,Voters,5/8/2019,43.07555,52.93488000000001,5,8,2019
376,Adults,5/8/2019,41.90039,52.61849,5,8,2019
377,All polls,5/8/2019,42.44097,52.61764,5,8,2019
378,Adults,5/7/2019,42.38367,52.44556,5,7,2019
379,Voters,5/7/2019,43.28363,52.91903000000001,5,7,2019
380,All polls,5/7/2019,42.88278,52.28273,5,7,2019
381,Adults,5/6/2019,42.09672,52.7935,5,6,2019
382,Voters,5/6/2019,43.319109999999995,52.84899,5,6,2019
383,All polls,5/6/2019,42.73124,52.449369999999995,5,6,2019
384,Adults,5/5/2019,42.070029999999996,52.7985,5,5,2019
385,Voters,5/5/2019,43.259170000000005,52.890130000000006,5,5,2019
386,All polls,5/5/2019,42.66097,52.473459999999996,5,5,2019
387,Adults,5/4/2019,41.45581,52.932559999999995,5,4,2019
388,All polls,5/4/2019,42.32113,52.54971999999999,5,4,2019
389,Voters,5/4/2019,43.259170000000005,52.890130000000006,5,4,2019
390,Voters,5/3/2019,43.259170000000005,52.890130000000006,5,3,2019
391,Adults,5/3/2019,41.45581,52.932559999999995,5,3,2019
392,All polls,5/3/2019,42.32113,52.54971999999999,5,3,2019
393,Voters,5/2/2019,43.22665,52.978280000000005,5,2,2019
394,Adults,5/2/2019,40.62981,53.756609999999995,5,2,2019
395,All polls,5/2/2019,41.777609999999996,53.15008,5,2,2019
396,Voters,5/1/2019,42.9759,53.054390000000005,5,1,2019
397,Adults,5/1/2019,40.6577,53.668409999999994,5,1,2019
398,All polls,5/1/2019,41.536640000000006,53.15172,5,1,2019
399,Voters,4/30/2019,42.386340000000004,53.06581,4,30,2019
400,Adults,4/30/2019,39.802040000000005,53.95821,4,30,2019
401,All polls,4/30/2019,41.06827,53.25643,4,30,2019
402,Adults,4/29/2019,39.95821,53.810790000000004,4,29,2019
403,Voters,4/29/2019,42.52669,52.86676,4,29,2019
404,All polls,4/29/2019,41.2266,53.03816,4,29,2019
405,Voters,4/28/2019,42.49869,52.91497,4,28,2019
406,Adults,4/28/2019,39.81222,53.88261,4,28,2019
407,All polls,4/28/2019,41.1721,53.078219999999995,4,28,2019
408,Voters,4/27/2019,42.49869,52.91497,4,27,2019
409,Adults,4/27/2019,39.81222,53.88261,4,27,2019
410,All polls,4/27/2019,41.1721,53.078219999999995,4,27,2019
411,Voters,4/26/2019,42.52747,52.8409,4,26,2019
412,Adults,4/26/2019,39.76424,53.8444,4,26,2019
413,All polls,4/26/2019,41.14526,53.04348,4,26,2019
414,Voters,4/25/2019,42.45556,52.86634,4,25,2019
415,Adults,4/25/2019,39.93294,54.253569999999996,4,25,2019
416,All polls,4/25/2019,41.37328,53.22184,4,25,2019
417,Voters,4/24/2019,42.41169,52.87223,4,24,2019
418,Adults,4/24/2019,39.9197,54.22156,4,24,2019
419,All polls,4/24/2019,41.3476,53.22085,4,24,2019
420,Voters,4/23/2019,42.338190000000004,52.99057,4,23,2019
421,Adults,4/23/2019,39.7673,54.77791,4,23,2019
422,All polls,4/23/2019,41.304629999999996,53.51545,4,23,2019
423,Voters,4/22/2019,42.16531,53.184290000000004,4,22,2019
424,Adults,4/22/2019,40.3757,54.180969999999995,4,22,2019
425,All polls,4/22/2019,41.28224,53.680240000000005,4,22,2019
426,Voters,4/21/2019,42.77319,52.567530000000005,4,21,2019
427,Adults,4/21/2019,40.237109999999994,54.154990000000005,4,21,2019
428,All polls,4/21/2019,41.59775,53.248430000000006,4,21,2019
429,Voters,4/20/2019,42.77319,52.567530000000005,4,20,2019
430,Adults,4/20/2019,40.237109999999994,54.154990000000005,4,20,2019
431,All polls,4/20/2019,41.59775,53.248430000000006,4,20,2019
432,Voters,4/19/2019,42.80421,52.523109999999996,4,19,2019
433,Adults,4/19/2019,40.19921,54.09414,4,19,2019
434,All polls,4/19/2019,41.58872,53.18339,4,19,2019
435,Voters,4/18/2019,42.850120000000004,52.44035,4,18,2019
